"Item ID","Item Detail",,
,"Item Name","Item Price","Item Operate"
0,"Item 0",$0,
1,"Item 1",$1,
2,"Item 2",$2,
3,"Item 3",$3,
4,"Item 4",$4,
5,"Item 5",$5,
6,"Item 6",$6,
7,"Item 7",$7,
8,"Item 8",$8,
9,"Item 9",$9,
10,"Item 10",$10,
11,"Item 11",$11,
12,"Item 12",$12,
13,"Item 13",$13,
14,"Item 14",$14,
15,"Item 15",$15,
16,"Item 16",$16,
17,"Item 17",$17,
18,"Item 18",$18,
19,"Item 19",$19,
20,"Item 20",$20,
21,"Item 21",$21,
22,"Item 22",$22,
23,"Item 23",$23,
24,"Item 24",$24,
25,"Item 25",$25,
26,"Item 26",$26,
27,"Item 27",$27,
28,"Item 28",$28,
29,"Item 29",$29,
30,"Item 30",$30,
31,"Item 31",$31,
32,"Item 32",$32,
33,"Item 33",$33,
34,"Item 34",$34,
35,"Item 35",$35,
36,"Item 36",$36,
37,"Item 37",$37,
38,"Item 38",$38,
39,"Item 39",$39,
40,"Item 40",$40,
41,"Item 41",$41,
42,"Item 42",$42,
43,"Item 43",$43,
44,"Item 44",$44,
45,"Item 45",$45,
46,"Item 46",$46,
47,"Item 47",$47,
48,"Item 48",$48,
49,"Item 49",$49,
50,"Item 50",$50,
51,"Item 51",$51,
52,"Item 52",$52,
53,"Item 53",$53,
54,"Item 54",$54,
55,"Item 55",$55,
56,"Item 56",$56,
57,"Item 57",$57,
58,"Item 58",$58,
59,"Item 59",$59,
60,"Item 60",$60,
61,"Item 61",$61,
62,"Item 62",$62,
63,"Item 63",$63,
64,"Item 64",$64,
65,"Item 65",$65,
66,"Item 66",$66,
67,"Item 67",$67,
68,"Item 68",$68,
69,"Item 69",$69,
70,"Item 70",$70,
71,"Item 71",$71,
72,"Item 72",$72,
73,"Item 73",$73,
74,"Item 74",$74,
75,"Item 75",$75,
76,"Item 76",$76,
77,"Item 77",$77,
78,"Item 78",$78,
79,"Item 79",$79,
80,"Item 80",$80,
81,"Item 81",$81,
82,"Item 82",$82,
83,"Item 83",$83,
84,"Item 84",$84,
85,"Item 85",$85,
86,"Item 86",$86,
87,"Item 87",$87,
88,"Item 88",$88,
89,"Item 89",$89,
90,"Item 90",$90,
91,"Item 91",$91,
92,"Item 92",$92,
93,"Item 93",$93,
94,"Item 94",$94,
95,"Item 95",$95,
96,"Item 96",$96,
97,"Item 97",$97,
98,"Item 98",$98,
99,"Item 99",$99,
100,"Item 100",$100,
101,"Item 101",$101,
102,"Item 102",$102,
103,"Item 103",$103,
104,"Item 104",$104,
105,"Item 105",$105,
106,"Item 106",$106,
107,"Item 107",$107,
108,"Item 108",$108,
109,"Item 109",$109,
110,"Item 110",$110,
111,"Item 111",$111,
112,"Item 112",$112,
113,"Item 113",$113,
114,"Item 114",$114,
115,"Item 115",$115,
116,"Item 116",$116,
117,"Item 117",$117,
118,"Item 118",$118,
119,"Item 119",$119,
120,"Item 120",$120,
121,"Item 121",$121,
122,"Item 122",$122,
123,"Item 123",$123,
124,"Item 124",$124,
125,"Item 125",$125,
126,"Item 126",$126,
127,"Item 127",$127,
128,"Item 128",$128,
129,"Item 129",$129,
130,"Item 130",$130,
131,"Item 131",$131,
132,"Item 132",$132,
133,"Item 133",$133,
134,"Item 134",$134,
135,"Item 135",$135,
136,"Item 136",$136,
137,"Item 137",$137,
138,"Item 138",$138,
139,"Item 139",$139,
140,"Item 140",$140,
141,"Item 141",$141,
142,"Item 142",$142,
143,"Item 143",$143,
144,"Item 144",$144,
145,"Item 145",$145,
146,"Item 146",$146,
147,"Item 147",$147,
148,"Item 148",$148,
149,"Item 149",$149,
150,"Item 150",$150,
151,"Item 151",$151,
152,"Item 152",$152,
153,"Item 153",$153,
154,"Item 154",$154,
155,"Item 155",$155,
156,"Item 156",$156,
157,"Item 157",$157,
158,"Item 158",$158,
159,"Item 159",$159,
160,"Item 160",$160,
161,"Item 161",$161,
